nama_tempat,user,review,rating,tanggal
Unknown,muh har,"sabtu, 1 februari 2025 jam 18.30
karyawan wanita pake topi di bagian pelayanan minuman, sangat bad attitude, mohon diperbaiki sikapnya yaaa... dan masa' iya makanan dluan yg datang, tidak …",1,setahun lalu
Unknown,Adietya nanda Adit,Parahhh bangett dahh . Saya driverr nunggu dari jam 3.19 sampai jam 5 27.pesanana gak di buatkan sampaii di batalkan sistem mitra dan saya dah rugi waktu tenaga buat nungguin di sana,1,4 bulan lalu
Unknown,Adelta Adelta,"Jujur makanannya semua nya enak banget pelayanan juga baik amanah , rekomendasi banget untuk kalian yang pengen cobain makanan di  Mie gacoan",5,2 minggu lalu
Unknown,diah destiana,"Order takeaway pakai QR jd ga perlu ngantri dan nggu lama, dtg lgsg ambil. Thanks",5,6 bulan lalu
Unknown,Agus Zul,"Makanan dan Minuman sangat terjangkau untuk sekelas rumah makan besar, Untuk layanan perlu ditingkatkan lagi khususnya buat karyawan yang antar makanan ke meja perlu lebih ramah dan murah senyum dan membantu jika dimintai tolong oleh …",5,5 bulan lalu
Unknown,Davaa Davaa,"Demi apapun .. Para pengunjungnya sangat terhormat dan tau adab.

Yang Menyedihkan Mulut karyawannya kaya kaleng kongguan dibanting. BERISIK …",1,sebulan lalu
Unknown,Arina YoungYeoja,"2 kali dapet dingin , 1 kali dapet udang keju hitam, ini makanannya di goreng ulang kah alot udah gitu hitam, aku ni suka makan gacoan cuma setiap pesen di grep ko selalu dapetnya yang gitu si",2,7 bulan lalu
Unknown,APOTEKER LTA,"Lebih recom yg di bpp,, d bpp porsi lebih banyak, pakai piring, dapat tisu,,",4,7 bulan lalu
Unknown,Salsabila Waritski,"Untuk rasa, ada perbedaan antara gacoan malang dan Samarinda. Saya kira akan sama memakai piring ternyata pakai paper pack walaupun dine in. Sudah pakai metode baru yaitu scan buat lihat dan pesan menu, tapi untuk pembayaran masih harus ke …",4,setahun lalu
Unknown,theona lolanita austin,"wah enak banget disini, pelayanannya juga ramah, dan mie nya juga enak enak loh. worth it deh disini!!",5,2 minggu lalu
Unknown,muhammad irman,"tempatnya bagus nyaman bersih cocok banget buat nongkrong sama sepupuu harga pas dikantong 🫂
karyawannya cantik ganteng baik ramah sekali 🥰🥰 …",5,setahun lalu
Unknown,Chick Chick,"Udang keju MANTAAPPPPP JIWAAAAA. Enak banget noh, ampe bikin kenyang mampusss. Mie nya juga enak, ga bikin eneg. Gw pesen thai tea juga. Gw kira bakal agak hambar gitu ternyata manis dan sesuai seleraaaa, niceee 👍 Thai tea recommended …",5,4 bulan lalu
