nama_tempat,user,review,rating,tanggal
Unknown,Rian Adi Nugraha,Lokasi yang strategis untuk daerah kelapa gading dan sekitarnya...menu nya enak anget dan pelayanan lumayan bagus,5,11 bulan lalu
Unknown,Dwi Yoga Nurpradana,"Pelayanannya baik dan ramah sekali, walaupun sudah malam menjelang pagi hari tetapi para staff melayani dengan profesional dan penuh senyuman. Menu yang dihidangkan pun masih fresh dan tidak butuh waktu lama untuk segera dimakan bersama es jeruk yang manis.",5,9 bulan lalu
Unknown,Siti Umiyadah (umiyadah),"Kalo nyari gacoan yg antrinya ga panjang. Gacoan kelapa gading tempatnya. Tapi kasir kelapa gading beda sama kasir gacoan lainnya. Kalo ada sisaan makanan dan mau di take away pake bungkusnya gacoan kena Rp1.000, mungkin Rp1.000 nya ga …",4,setahun lalu
Unknown,Muhamad Fajar Ramadhan,"Gile, lama benerrrrre bossss. Parkirnya juga kocak! tertera harganya disitu parkir berapa mintanya berapa, dikira orang dongo kali. Gaakan gua ke sini lagi",1,setahun lalu
Unknown,Winndy Gunawan,TANDAIN YA UNTUK CREW MBA2 GACOAN. JANGAN KEBANYAKAN LALAI BECANDA MULU. GA SOPAN TAU GA. GA ADA WIBAWA PELAYANAN YANG BERATITUDE. DAN MAKANAN YG UDAH JADI JANGAN DI DIEMIN DONG MALAH ASIK SENDIRI DIPIKIR ORG ORDER KARENA BECANDA APA HAH??? LOL. KALAU GA ADA PERUBAHAN SIAP2 VIRAL SIAP2 MASUK FYP 😃😀 …,1,4 bulan lalu
Unknown,akun smurf,"Pesen dine in dikasih nomor meja 9 di jam 13.58 udah pesen nungguin lama sampe komplen di 30 menit kemudian cuma dibilang suruh tunggu, terus di menit ke 45 komplen lagi baru di urus. Itu pun yang dateng cuma mie nya doang, kelengkapan lain …",1,10 bulan lalu
Unknown,ramandhadewi maharani,"kemaren malem ke gacoan dan  pesen banyak makanan tapi ternyata semua makanannya ga di anterin sama mbak"" waiters nya terus  minta tolong tuh ke mbak"" yang jagain makanan minta tolong bantuin bawa makanan  eh ternyata ga di bantuin tuh sama …",1,6 bulan lalu
Unknown,Muhammad Prayoga,"Saya sangat senang sekali oleh Team Mie Gacoan Kelapa Gading , Karna sudah membantu merayakan ulang tahun teman saya , Stafnya ramah ramah banget ❤️❤️",5,setahun lalu
Unknown,Agum Satrio,"Tempatnya Lumayan Enak, Cuman Kasir Yang Tidak Jujur, Dan Menyepelekan Kembalian Rp 500 pada saat orderan pertama dan tidak mengembalikan Rp 500 pada orderan ke 2, dan ini suatu tindakan korupsi kepada konsumen, Kejadian Jam 14: 40 kasir shift siang",1,5 bulan lalu
Unknown,Rodhotul Jannah,Makan dan pelayanannya ramah🥰✨ …,5,8 bulan lalu
